.1.3.6.1.2.1.1.1.0 = STRING: Juniper Networks, Inc. jsr6350 internet router, kernel JUNOS 10.2R4.8 #0: 2011-05-10 22:34:35 UTC     builder@alaranth.juniper.net:/volume/build/junos/10.2/release/10.2R4.8/obj-i386/bsd/sys/compile/JSR Build date: 2011-05-10 22:16:40 UTC Copyright (c) 19
.1.3.6.1.2.1.1.2.0 = OID: .1.3.6.1.4.1.2636.1.1.1.2.20
.1.3.6.1.2.1.1.3.0 = Timeticks: (171755031) 19 days, 21:05:50.31
.1.3.6.1.2.1.1.4.0 = STRING: 
.1.3.6.1.2.1.1.5.0 = STRING: J6350-2
.1.3.6.1.2.1.1.6.0 = STRING: 
.1.3.6.1.2.1.1.7.0 = INTEGER: 4
.1.3.6.1.2.1.2.1.0 = INTEGER: 30
.1.3.6.1.2.1.2.2.1.1.4 = INTEGER: 4
.1.3.6.1.2.1.2.2.1.1.5 = INTEGER: 5
.1.3.6.1.2.1.2.2.1.1.6 = INTEGER: 6
.1.3.6.1.2.1.2.2.1.1.7 = INTEGER: 7
.1.3.6.1.2.1.2.2.1.1.8 = INTEGER: 8
.1.3.6.1.2.1.2.2.1.1.9 = INTEGER: 9
.1.3.6.1.2.1.2.2.1.1.10 = INTEGER: 10
.1.3.6.1.2.1.2.2.1.1.11 = INTEGER: 11
.1.3.6.1.2.1.2.2.1.1.12 = INTEGER: 12
.1.3.6.1.2.1.2.2.1.1.21 = INTEGER: 21
.1.3.6.1.2.1.2.2.1.1.22 = INTEGER: 22
.1.3.6.1.2.1.2.2.1.1.501 = INTEGER: 501
.1.3.6.1.2.1.2.2.1.1.502 = INTEGER: 502
.1.3.6.1.2.1.2.2.1.1.503 = INTEGER: 503
.1.3.6.1.2.1.2.2.1.1.504 = INTEGER: 504
.1.3.6.1.2.1.2.2.1.1.505 = INTEGER: 505
.1.3.6.1.2.1.2.2.1.1.506 = INTEGER: 506
.1.3.6.1.2.1.2.2.1.1.507 = INTEGER: 507
.1.3.6.1.2.1.2.2.1.1.508 = INTEGER: 508
.1.3.6.1.2.1.2.2.1.1.509 = INTEGER: 509
.1.3.6.1.2.1.2.2.1.1.510 = INTEGER: 510
.1.3.6.1.2.1.2.2.1.1.511 = INTEGER: 511
.1.3.6.1.2.1.2.2.1.1.512 = INTEGER: 512
.1.3.6.1.2.1.2.2.1.1.513 = INTEGER: 513
.1.3.6.1.2.1.2.2.1.1.514 = INTEGER: 514
.1.3.6.1.2.1.2.2.1.1.515 = INTEGER: 515
.1.3.6.1.2.1.2.2.1.1.516 = INTEGER: 516
.1.3.6.1.2.1.2.2.1.1.517 = INTEGER: 517
.1.3.6.1.2.1.2.2.1.1.548 = INTEGER: 548
.1.3.6.1.2.1.2.2.1.1.549 = INTEGER: 549
.1.3.6.1.2.1.2.2.1.2.4 = STRING: lsi
.1.3.6.1.2.1.2.2.1.2.5 = STRING: dsc
