# HELP mem_tracker_server_Read_Buffer_CQL_Receive Memory consumed by Receive->CQL->Read Buffer->server->root
# TYPE mem_tracker_server_Read_Buffer_CQL_Receive gauge
mem_tracker_server_Read_Buffer_CQL_Receive{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 393216 1736161627577
# HELP mem_tracker_server_Read_Buffer_CQL_Sending Memory consumed by Sending->CQL->Read Buffer->server->root
# TYPE mem_tracker_server_Read_Buffer_CQL_Sending gauge
mem_tracker_server_Read_Buffer_CQL_Sending{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP mem_tracker_server_Read_Buffer_CQL Memory consumed by CQL->Read Buffer->server->root
# TYPE mem_tracker_server_Read_Buffer_CQL gauge
mem_tracker_server_Read_Buffer_CQL{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP mem_tracker_server_Call_CQL Memory consumed by CQL->Call->server->root
# TYPE mem_tracker_server_Call_CQL gauge
mem_tracker_server_Call_CQL{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP mem_tracker_server_LogCache Memory consumed by LogCache->server->root
# TYPE mem_tracker_server_LogCache gauge
mem_tracker_server_LogCache{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP mem_tracker_server_Read_Buffer_CQL_Reading Memory consumed by Reading->CQL->Read Buffer->server->root
# TYPE mem_tracker_server_Read_Buffer_CQL_Reading gauge
mem_tracker_server_Read_Buffer_CQL_Reading{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP mem_tracker_server_Call_Inbound_RPC Memory consumed by Inbound RPC->Call->server->root
# TYPE mem_tracker_server_Call_Inbound_RPC gauge
mem_tracker_server_Call_Inbound_RPC{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP rpcs_in_queue_yb_stateful_service_PgAutoAnalyzeService rpcs_in_queue_yb_stateful_service_PgAutoAnalyzeService metric for ServicePoolImpl
# TYPE rpcs_in_queue_yb_stateful_service_PgAutoAnalyzeService gauge
rpcs_in_queue_yb_stateful_service_PgAutoAnalyzeService{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP rpcs_in_queue_yb_tserver_TabletServerAdminService rpcs_in_queue_yb_tserver_TabletServerAdminService metric for ServicePoolImpl
# TYPE rpcs_in_queue_yb_tserver_TabletServerAdminService gauge
rpcs_in_queue_yb_tserver_TabletServerAdminService{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP rpcs_in_queue_yb_consensus_ConsensusService rpcs_in_queue_yb_consensus_ConsensusService metric for ServicePoolImpl
# TYPE rpcs_in_queue_yb_consensus_ConsensusService gauge
rpcs_in_queue_yb_consensus_ConsensusService{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP mem_tracker_server_Allocated_Big_Shared_Memory_Available_Big_Shared_Memory Memory consumed by Available Big Shared Memory->Allocated Big Shared Memory->server->root
# TYPE mem_tracker_server_Allocated_Big_Shared_Memory_Available_Big_Shared_Memory gauge
mem_tracker_server_Allocated_Big_Shared_Memory_Available_Big_Shared_Memory{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP rpcs_in_queue_yb_tserver_PgClientService rpcs_in_queue_yb_tserver_PgClientService metric for ServicePoolImpl
# TYPE rpcs_in_queue_yb_tserver_PgClientService gauge
rpcs_in_queue_yb_tserver_PgClientService{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP rpcs_in_queue_yb_server_GenericService rpcs_in_queue_yb_server_GenericService metric for ServicePoolImpl
# TYPE rpcs_in_queue_yb_server_GenericService gauge
rpcs_in_queue_yb_server_GenericService{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP rpcs_in_queue_yb_tserver_TabletServerService rpcs_in_queue_yb_tserver_TabletServerService metric for ServicePoolImpl
# TYPE rpcs_in_queue_yb_tserver_TabletServerService gauge
rpcs_in_queue_yb_tserver_TabletServerService{exported_instance="pve-deb-work:9000",metric_type="server",metric_id="yb.tabletserver"} 0 1736161627577
# HELP mem_tracker_server_Allocated_Big_Shared_Memory Memory consumed by Allocated Big Shared Memory->server->root
