# HELP handler_latency_yb_ysqlserver_SQLProcessor_SelectStmt_count Number of SELECT statements that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_SelectStmt_count counter
handler_latency_yb_ysqlserver_SQLProcessor_SelectStmt_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_SelectStmt_sum Total time spent executing SELECT statements
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_SelectStmt_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_SelectStmt_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_InsertStmt_count Number of INSERT statements that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_InsertStmt_count counter
handler_latency_yb_ysqlserver_SQLProcessor_InsertStmt_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_InsertStmt_sum Total time spent executing INSERT statements
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_InsertStmt_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_InsertStmt_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_DeleteStmt_count Number of DELETE statements that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_DeleteStmt_count counter
handler_latency_yb_ysqlserver_SQLProcessor_DeleteStmt_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_DeleteStmt_sum Total time spent executing DELETE statements
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_DeleteStmt_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_DeleteStmt_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_UpdateStmt_count Number of UPDATE statements that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_UpdateStmt_count counter
handler_latency_yb_ysqlserver_SQLProcessor_UpdateStmt_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_UpdateStmt_sum Total time spent executing UPDATE statements
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_UpdateStmt_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_UpdateStmt_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_BeginStmt_count Number of BEGIN statements that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_BeginStmt_count counter
handler_latency_yb_ysqlserver_SQLProcessor_BeginStmt_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_BeginStmt_sum Total time spent executing BEGIN statements
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_BeginStmt_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_BeginStmt_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_CommitStmt_count Number of COMMIT statements that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_CommitStmt_count counter
handler_latency_yb_ysqlserver_SQLProcessor_CommitStmt_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_CommitStmt_sum Total time spent executing COMMIT statements
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_CommitStmt_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_CommitStmt_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_RollbackStmt_count Number of ROLLBACK statements that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_RollbackStmt_count counter
handler_latency_yb_ysqlserver_SQLProcessor_RollbackStmt_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_RollbackStmt_sum Total time spent executing ROLLBACK statements
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_RollbackStmt_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_RollbackStmt_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_OtherStmts_count Number of other statements that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_OtherStmts_count counter
handler_latency_yb_ysqlserver_SQLProcessor_OtherStmts_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_OtherStmts_sum Total time spent executing other statements
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_OtherStmts_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_OtherStmts_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_Single_Shard_Transactions_count Number of single shard transactions that have been executed (deprecated)
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_Single_Shard_Transactions_count counter
handler_latency_yb_ysqlserver_SQLProcessor_Single_Shard_Transactions_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_Single_Shard_Transactions_sum Total time spent executing single shard transactions (deprecated)
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_Single_Shard_Transactions_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_Single_Shard_Transactions_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_SingleShardTransactions_count Number of single shard transactions that have been executed
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_SingleShardTransactions_count counter
handler_latency_yb_ysqlserver_SQLProcessor_SingleShardTransactions_count{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_SingleShardTransactions_sum Total time spent executing single shard transactions
# TYPE handler_latency_yb_ysqlserver_SQLProcessor_SingleShardTransactions_sum counter
handler_latency_yb_ysqlserver_SQLProcessor_SingleShardTransactions_sum{metric_id="yb.ysqlserver",metric_type="server",exported_instance="pve-deb-work:9000"} 0 1735842969185
# HELP handler_latency_yb_ysqlserver_SQLProcessor_Transactions_count Number of transactions that have been executed
